City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
350,Saint-Joseph,RE,82.4,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
351,Isla Mujeres,MX,82.4,scattered clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
352,Cam Ranh,VN,77.0,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
353,Alyangula,AU,77.0,heavy intensity rain,-13.8483,136.4192,Groote Eylandt Lodge
354,Chancay,PE,77.0,clear sky,-11.5714,-77.2672,Hotel Madre Perla
355,Nouakchott,MR,75.2,dust,18.0858,-15.9785,HOTEL IMAN فندق إيمان
356,Matara,LK,77.16,light rain,5.9485,80.5353,Amaloh Boutique Resort
357,Sabang,ID,81.86,heavy intensity rain,5.8933,95.3214,Hotel Citra
358,Kilindoni,TZ,82.24,few clouds,-7.9139,39.6668,Bustani B&B
359,Vanimo,PG,77.22,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
361,Gandara,PH,75.65,few clouds,12.013,124.8118,"Legislative Building of San Jorge,Samar"
362,Labuan,MY,80.6,few clouds,5.2767,115.2417,Tiara Labuan Hotel
364,Puro,PH,78.22,clear sky,12.4841,123.3827,
366,Carnarvon,AU,80.6,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
367,Touros,BR,87.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
371,Meulaboh,ID,80.01,broken clouds,4.1363,96.1285,Kost Pria
379,Tanout,NE,83.41,scattered clouds,14.9709,8.8879,
381,Kieta,PG,80.26,overcast clouds,-6.2167,155.6333,
384,Alofi,NU,77.0,overcast clouds,-19.0595,-169.9187,Taloa Heights
387,Mitsamiouli,KM,83.46,overcast clouds,-11.3847,43.2844,Foyer ADM
388,Buchanan,LR,82.4,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
394,Mahanoro,MG,81.21,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
396,Venado Tuerto,AR,86.0,clear sky,-33.7456,-61.9688,La Bianca.
399,Hun,LY,77.18,clear sky,29.1268,15.9477,Alrwasi Hotel
414,Sao Francisco,BR,77.68,overcast clouds,-15.9486,-44.8644,Pousada Peixe Vivo
421,Ligayan,PH,81.81,overcast clouds,4.6533,119.4706,
427,Chibuto,MZ,78.26,overcast clouds,-24.6867,33.5306,Hotel Mar Da Zinha
428,Butterworth,MY,86.0,few clouds,5.3991,100.3638,Cititel Penang
431,Kikwit,CD,78.1,overcast clouds,-5.041,18.8162,Guest L'Amour
432,Ambovombe,MG,79.52,light rain,-25.1667,46.0833,RELAHARA
433,Cabadiangan,PH,77.04,broken clouds,9.7531,122.4739,Kipot
434,Alta Floresta,BR,82.4,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
444,Yulara,AU,80.6,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
447,Nabire,ID,76.28,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
450,Micheweni,TZ,81.5,clear sky,-4.9667,39.8333,
451,Kattivakkam,IN,75.2,haze,13.2167,80.3167,Raj's villa
452,Villa Carlos Paz,AR,88.0,clear sky,-31.4241,-64.4978,Monte Carlo
455,Huarmey,PE,75.56,overcast clouds,-10.0681,-78.1522,Hotel Miramar
456,Poum,NC,79.84,few clouds,-20.2333,164.0167,Gîte kajeon
457,Bosaso,SO,75.18,clear sky,11.2842,49.1816,Red Sea Hotel
459,Okitipupa,NG,89.33,few clouds,6.5047,4.7839,Coastal Hotel & Suites
460,Boa Vista,BR,86.0,light rain,2.8197,-60.6733,Aipana Plaza Hotel
462,Harper,LR,83.5,scattered clouds,4.375,-7.7169,Screensaver
465,Basse-Pointe,MQ,82.4,broken clouds,14.8695,-61.115,Residence HYBRIDES
470,Alice Springs,AU,77.0,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
473,Skeldon,GY,83.37,overcast clouds,5.8833,-57.1333,Rits Hotel
